sample_name,r1_path,r2_path,batch
Undetermined,data/reads1/Undetermined_S0_L001_R1_001.fastq,data/reads1/Undetermined_S0_L001_R2_001.fastq,1
csd-honeybee-1,data/reads1/csd-honeybee-1_S1_L001_R1_001.fastq,data/reads1/csd-honeybee-1_S1_L001_R2_001.fastq,1
csd-honeybee-10,data/reads1/csd-honeybee-10_S10_L001_R1_001.fastq,data/reads1/csd-honeybee-10_S10_L001_R2_001.fastq,1
csd-honeybee-11,data/reads1/csd-honeybee-11_S11_L001_R1_001.fastq,data/reads1/csd-honeybee-11_S11_L001_R2_001.fastq,1
csd-honeybee-12,data/reads1/csd-honeybee-12_S12_L001_R1_001.fastq,data/reads1/csd-honeybee-12_S12_L001_R2_001.fastq,1
csd-honeybee-13,data/reads1/csd-honeybee-13_S13_L001_R1_001.fastq,data/reads1/csd-honeybee-13_S13_L001_R2_001.fastq,1
csd-honeybee-2,data/reads1/csd-honeybee-2_S2_L001_R1_001.fastq,data/reads1/csd-honeybee-2_S2_L001_R2_001.fastq,1
csd-honeybee-3,data/reads1/csd-honeybee-3_S3_L001_R1_001.fastq,data/reads1/csd-honeybee-3_S3_L001_R2_001.fastq,1
csd-honeybee-4,data/reads1/csd-honeybee-4_S4_L001_R1_001.fastq,data/reads1/csd-honeybee-4_S4_L001_R2_001.fastq,1
csd-honeybee-5,data/reads1/csd-honeybee-5_S5_L001_R1_001.fastq,data/reads1/csd-honeybee-5_S5_L001_R2_001.fastq,1
csd-honeybee-6,data/reads1/csd-honeybee-6_S6_L001_R1_001.fastq,data/reads1/csd-honeybee-6_S6_L001_R2_001.fastq,1
csd-honeybee-7,data/reads1/csd-honeybee-7_S7_L001_R1_001.fastq,data/reads1/csd-honeybee-7_S7_L001_R2_001.fastq,1
csd-honeybee-8,data/reads1/csd-honeybee-8_S8_L001_R1_001.fastq,data/reads1/csd-honeybee-8_S8_L001_R2_001.fastq,1
csd-honeybee-9,data/reads1/csd-honeybee-9_S9_L001_R1_001.fastq,data/reads1/csd-honeybee-9_S9_L001_R2_001.fastq,1
CSD2-1,data/reads2/CSD2-1_S1_L001_R1_001.fastq,data/reads2/CSD2-1_S1_L001_R2_001.fastq,2
CSD2-10,data/reads2/CSD2-10_S10_L001_R1_001.fastq,data/reads2/CSD2-10_S10_L001_R2_001.fastq,2
CSD2-11,data/reads2/CSD2-11_S11_L001_R1_001.fastq,data/reads2/CSD2-11_S11_L001_R2_001.fastq,2
CSD2-12,data/reads2/CSD2-12_S12_L001_R1_001.fastq,data/reads2/CSD2-12_S12_L001_R2_001.fastq,2
CSD2-2,data/reads2/CSD2-2_S2_L001_R1_001.fastq,data/reads2/CSD2-2_S2_L001_R2_001.fastq,2
CSD2-3,data/reads2/CSD2-3_S3_L001_R1_001.fastq,data/reads2/CSD2-3_S3_L001_R2_001.fastq,2
CSD2-4,data/reads2/CSD2-4_S4_L001_R1_001.fastq,data/reads2/CSD2-4_S4_L001_R2_001.fastq,2
CSD2-5,data/reads2/CSD2-5_S5_L001_R1_001.fastq,data/reads2/CSD2-5_S5_L001_R2_001.fastq,2
CSD2-6,data/reads2/CSD2-6_S6_L001_R1_001.fastq,data/reads2/CSD2-6_S6_L001_R2_001.fastq,2
CSD2-7,data/reads2/CSD2-7_S7_L001_R1_001.fastq,data/reads2/CSD2-7_S7_L001_R2_001.fastq,2
CSD2-8,data/reads2/CSD2-8_S8_L001_R1_001.fastq,data/reads2/CSD2-8_S8_L001_R2_001.fastq,2
CSD2-9,data/reads2/CSD2-9_S9_L001_R1_001.fastq,data/reads2/CSD2-9_S9_L001_R2_001.fastq,2
Undetermined,data/reads2/Undetermined_S0_L001_R1_001.fastq,data/reads2/Undetermined_S0_L001_R2_001.fastq,2
